ID,age,workclass,education,education.num,marital.status,occupation,relationship,race,Gender,capital.gain,capital.loss,hours.per.week,native.country,income,income_value
1,90,?,HS-grad,9,Widowed,?,Not-in-family,White,Female,0,4356,40,United-States,<=50K,7986
2,82,Private,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,<=50K,4566
3,66,?,Some-college,10,Widowed,?,Unmarried,Black,Female,0,4356,40,United-States,<=50K,2571
4,54,Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,<=50K,8611
5,41,Private,Some-college,10,Separated,"Prof-,specialty",Own-child,White,Female,0,3900,40,United-States,<=50K,1553
6,34,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,female,0,3770,45,United-States,<=50K,7560
7,38,Private,10th,6,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,<=50K,4204
8,74,State-gov,Doctorate,16,Never-married,"Prof-,specialty",Other-relative,White,female,0,3683,20,United-States,>50K,
9,68,Federal-gov,HS-grad,9,Divorced,"Prof-,specialty",Not-in-family,White,female,0,3683,40,United-States,<=50K,481
10,41,Private,Some-college,10,Never-married,Craft-repair,Unmarried,White,Male,0,3004,60,?,>50K,
11,45,Private,Doctorate,16,Divorced,"Prof-,specialty",Unmarried,Black,female,0,3004,35,United-States,>50K,
12,38,Self-emp-not-inc,Prof-school,15,Never-married,"Prof-,specialty",Not-in-family,White,Male,0,2824,45,United-States,>50K,
13,52,Private,Bachelors,13,Widowed,Other-service,Not-in-family,White,female,0,2824,20,United-States,>50K,
14,32,Private,Masters,14,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,>50K,
15,51,?,Doctorate,16,Never-married,?,Not-in-family,White,Male,0,2824,40,United-States,>50K,
16,46,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,>50K,
17,45,Private,11th,7,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,>50K,
18,57,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,M,0,2824,50,United-States,>50K,
19,22,Private,Assoc-acdm,12,Never-married,Handlers-cleaners,Not-in-family,Black,M,0,2824,40,?,>50K,
20,34,Private,Bachelors,13,Separated,Sales,Not-in-family,White,M,0,2824,50,United-States,>50K,
21,37,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,M,0,2824,40,United-States,>50K,
22,29,Private,11th,7,Separated,Sales,Not-in-family,White,female,0,2754,42,United-States,<=50K,1992
23,61,Private,HS-grad,9,Divorced,Sales,Unmarried,White,female,0,2754,25,United-States,<=50K,8224
24,51,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,M,0,2603,40,United-States,<=50K,8725
25,61,?,HS-grad,9,Married-civ-spouse,?,Husband,White,M,0,2603,32,United-States,<=50K,5053
26,21,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,M,0,2603,40,United-States,<=50K,8338
27,33,Private,1st-4th,2,Married-civ-spouse,Craft-repair,Not-in-family,White,M,0,2603,32,Mexico,<=50K,8257
28,49,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,M,0,2603,40,Greece,<=50K,6809
29,37,Self-emp-inc,10th,6,Never-married,Transport-moving,Not-in-family,White,M,0,2559,50,United-States,>50K,
30,38,Private,10th,6,Never-married,Prof-specialty,Not-in-family,White,M,0,2559,90,United-States,>50K,
31,23,Private,Some-college,10,Separated,Other-service,Not-in-family,White,M,0,2559,40,United-States,>50K,
32,59,Self-emp-inc,10th,6,Widowed,Exec-managerial,Unmarried,White,female,0,2559,50,United-States,>50K,
33,52,Private,Prof-school,15,Divorced,Exec-managerial,Not-in-family,White,M,0,2559,60,United-States,>50K,
34,51,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,M,0,2559,50,United-States,>50K,
35,60,Self-emp-not-inc,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,M,0,2559,50,United-States,>50K,
36,63,Federal-gov,Doctorate,16,Divorced,Exec-managerial,Not-in-family,White,female,0,2559,60,United-States,>50K,
37,53,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,M,0,2559,48,United-States,>50K,
38,51,Private,Prof-school,15,Never-married,"Prof-,specialty",Not-in-family,White,female,0,2559,50,United-States,>50K,
39,37,Self-emp-not-inc,Doctorate,16,Never-married,"Prof-,specialty",Not-in-family,White,female,0,2559,60,United-States,>50K,
40,54,Private,Masters,14,Divorced,"Prof-,specialty",Not-in-family,White,female,0,2559,40,United-States,>50K,
41,44,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,M,0,2547,50,United-States,>50K,
42,43,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,female,0,2547,40,United-States,>50K,
43,51,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,female,0,2547,40,United-States,>50K,
44,43,Private,Masters,14,Divorced,"Prof-,specialty",Unmarried,White,female,0,2547,40,United-States,>50K,
45,71,?,HS-grad,9,Married-civ-spouse,?,Husband,White,M,0,2489,15,United-States,<=50K,9919
46,48,Private,Bachelors,13,Married-spouse-absent,Sales,Unmarried,White,female,0,2472,70,United-States,>50K,
47,71,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,M,0,2467,52,United-States,<=50K,1802
48,73,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,M,0,2457,40,Vietnam,<=50K,4671
49,68,?,Some-college,10,Married-civ-spouse,?,Wife,White,female,0,2457,40,United-States,<=50K,6286
50,67,?,Some-college,10,Married-civ-spouse,?,Husband,White,M,0,2457,40,United-States,<=50K,4262
51,40,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,M,0,2444,45,United-States,>50K,
52,50,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,female,0,2444,72,United-States,>50K,
53,51,State-gov,Assoc-voc,11,Divorced,Tech-support,Not-in-family,White,M,0,2444,39,United-States,>50K,
54,42,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,female,0,2444,40,United-States,>50K,
